location1,location2,location3,location4,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9
a0,1,1,1,198.4, 184.0, 184.0, 185.8, 187.0, 185.8, 179.5, 193.6, 192.4
a0,1,1,1,200.8, 184.0, 188.2, 201.4, 197.8, 192.4, 188.2, 197.8, 195.0
a0,1,1,1,206.2, 184.0, 183.4, 191.8, 194.2, 192.4, 184.6, 190.6, 191.2
a0,1,1,1,211.6, 179.8, 188.2, 190.0, 198.4, 198.4, 191.8, 193.6, 196.6
a0,1,1,1,206.8, 182.2, 181.0, 190.6, 192.4, 193.6, 189.4, 191.8, 191.2
a0,1,1,1,208.0, 182.2, 185.2, 195.4, 190.0, 199.0, 187.0, 198.4, 184.6
a0,1,1,1,202.0, 185.8, 185.8, 191.8, 191.2, 201.4, 197.2, 192.4, 192.0
a0,1,1,1,211.2, 181.0, 187.0, 192.4, 184.0, 200.8, 184.0, 193.0, 190.0
a0,1,1,1,204.4, 180.25, 184.0, 187.0, 193.0, 189.4, 187.0, 196.0, 187.0
a0,1,1,1,215.0, 187.6, 187.0, 186.4, 195.4, 202.0, 191.8, 193.0, 187.0
a0,1,1,1,200.8, 188.2, 185.2, 191.2, 191.8, 195.4, 185.2, 190.0, 191.8
a0,1,1,1,211.0, 186.4, 185.8, 200.2, 193.0, 191.8, 187.6, 191.8, 191.8
a0,1,1,1,204.4, 185.2, 183.4, 199.0, 201.4, 195.4, 193.6, 192.4, 195.4
a1,1,1,1,214.0, 186.2, 184.8, 197.4, 199.6, 195.6, 186.4, 197.6, 190.6
a1,1,1,1,216.6, 187.75, 192.4, 198.4, 195.25, 201.4, 183.4, 195.4, 196.6
a1,1,1,1,213.4, 182.8, 184.0, 196.0, 195.4, 193.0, 188.2, 194.2, 200.8
a1,1,1,1,207.4, 181.0, 184.0, 199.6, 189.4, 190.6, 191.8, 185.2, 199.0
a1,1,1,1,214.2, 184.4, 189.6, 198.6, 193.8, 192.6, 186.4, 194.4, 196.0
a1,1,1,1,213.6, 180.4, 182.2, 193.6, 190.6, 200.8, 181.0, 200.8, 193.0
a1,1,1,1,214.6, 180.4, 190.0, 190.6, 196.0, 198.4, 187.0, 189.4, 198.4
a1,1,1,1,210.4, 185.8, 188.2, 191.8, 191.2, 193.6, 188.2, 191.8, 190.0
a1,1,1,1,206.8, 187.0, 185.2, 199.0, 197.2, 193.0, 195.4, 196.0, 196.0
a1,1,1,1,207.8, 182.2, 193.6, 198.8, 195.8, 201.6, 195.4, 198.8, 192.8
a1,1,1,1,206.8, 180.4, 187.0, 185.8, 195.8, 196.6, 184.0, 194.2, 190.8
a1,1,1,1,217.6, 187.0, 189.4, 200.0, 199.6, 193.6, 184.0, 199.6, 200.8
a1,1,1,1,215.2, 187.0, 191.8, 195.4, 193.0, 192.4, 185.8, 194.2, 188.8
a1,1,1,1,211.0, 180.4, 186.4, 197.2, 194.2, 194.2, 187.0, 199.6, 196.0
a2,2,1,1,199.6, 186.4, 181.6, 196.0, 197.2, 193.0, 182.2, 194.2, 195.4
a2,2,1,1,203.8, 186.4, 184.0, 196.6, 201.4, 201.0, 193.6, 191.8, 198.4
